story_message_id,story_id,user_id
da80ebc8-b150-4061-83f7-657bab029b17,80320eba-146a-4500-bc3d-0929fb587dc8,f192b78e-399e-4fc5-9676-ce0bf65b220b
e1b102ea-7807-4a30-ac99-e08788d61c25,6893d8d9-f42e-428c-a3e1-4abf64d28e80,f192b78e-399e-4fc5-9676-ce0bf65b220b
e3d11fb9-072a-45d1-a1cd-bffd8ddc0224,80320eba-146a-4500-bc3d-0929fb587dc8,f192b78e-399e-4fc5-9676-ce0bf65b220b
e8295107-a411-40c5-a10f-bba1416dff9a,7c15276d-24e6-4513-a919-74158c7be377,f192b78e-399e-4fc5-9676-ce0bf65b220b
ea003535-6e32-413a-b683-ba88472dc9e1,80320eba-146a-4500-bc3d-0929fb587dc8,f192b78e-399e-4fc5-9676-ce0bf65b220b
f1555c11-10d3-49b7-b0f1-657d2d68cd6a,a2b599e4-e608-49aa-b793-4f96cbf7cb38,f192b78e-399e-4fc5-9676-ce0bf65b220b
f5e416b7-3c9b-4a3f-a01f-178b466d176b,33308671-920f-41f2-8a9e-7cedc1f7d0c8,f192b78e-399e-4fc5-9676-ce0bf65b220b
fab6e9f9-3991-43dc-a596-f739a4aad613,d5ae14d2-7e90-4172-9c83-6f055b183678,f192b78e-399e-4fc5-9676-ce0bf65b220b
3e3966e3-158b-412c-ae65-fe5453868d55,2284ec00-6b8d-4e40-8a0a-737540b02982,f192b78e-399e-4fc5-9676-ce0bf65b220b
504f28fd-ce02-4131-a61f-f0cf477fb73d,2ad31577-a111-4ceb-8c67-e7c2db6461d9,f192b78e-399e-4fc5-9676-ce0bf65b220b
8cf7e977-70a9-4c66-9a8c-e29764b8ba12,2ad31577-a111-4ceb-8c67-e7c2db6461d9,f192b78e-399e-4fc5-9676-ce0bf65b220b
ce45b8a6-1c19-475b-92be-aa8609cb9417,77139d18-7b3c-4312-8d69-6060f98c5add,f192b78e-399e-4fc5-9676-ce0bf65b220b
e4dd6381-017d-47c1-b13d-3bc7e6d73de7,2284ec00-6b8d-4e40-8a0a-737540b02982,f192b78e-399e-4fc5-9676-ce0bf65b220b
f5c109b6-3a7e-4e3f-bd10-ec02bf65287e,45bb6e8a-08b5-495f-b6cb-db12af075d86,f192b78e-399e-4fc5-9676-ce0bf65b220b
055b0f65-ae7d-4b2f-ae5f-493c564d4cbc,9f7276a3-7603-4f4e-89ca-b5fe61ee6038,f192b78e-399e-4fc5-9676-ce0bf65b220b
0bb5331d-729e-4fac-903e-6590be897d37,2284ec00-6b8d-4e40-8a0a-737540b02982,f192b78e-399e-4fc5-9676-ce0bf65b220b
16d40fa9-4900-4747-939f-2f39c69b787d,2284ec00-6b8d-4e40-8a0a-737540b02982,f192b78e-399e-4fc5-9676-ce0bf65b220b
17f4e27d-1133-4993-adf6-246ac80eef49,d56127e6-c367-4af4-b33d-7dd6f2014c82,f192b78e-399e-4fc5-9676-ce0bf65b220b
1ab84d13-3f68-4200-bb3b-c2bcc700d9a1,f4852a13-bdd3-474b-afe8-13d4b42a3e5b,f192b78e-399e-4fc5-9676-ce0bf65b220b
1dbbd957-8fd6-423f-8369-5d89e76eabf5,25729289-f3ab-4b0f-9533-4e620d9af5a6,f192b78e-399e-4fc5-9676-ce0bf65b220b
237d7e6d-0626-47b2-b27c-e3e5e1f433a4,d56127e6-c367-4af4-b33d-7dd6f2014c82,f192b78e-399e-4fc5-9676-ce0bf65b220b
24d4d8a7-c9ca-4f15-b512-a5d4f65cfb43,f156ec02-9e4f-4799-a142-f3e7b3a16b43,f192b78e-399e-4fc5-9676-ce0bf65b220b
401349a0-b540-4891-85ca-a17b39e64284,ce237f33-6e37-45a1-9ebf-cdbd1094e66e,f192b78e-399e-4fc5-9676-ce0bf65b220b
6ae547b8-0a01-477d-b93f-cbc11aa5510f,ce237f33-6e37-45a1-9ebf-cdbd1094e66e,f192b78e-399e-4fc5-9676-ce0bf65b220b
759d334a-7f85-4fda-97a4-95db0b85aab3,d56127e6-c367-4af4-b33d-7dd6f2014c82,f192b78e-399e-4fc5-9676-ce0bf65b220b
7a24b023-e5fa-4eec-9240-209f15ff9b9c,d56127e6-c367-4af4-b33d-7dd6f2014c82,f192b78e-399e-4fc5-9676-ce0bf65b220b
7b1c675a-b49a-4b59-b3bf-8cdbbfe5afa4,f156ec02-9e4f-4799-a142-f3e7b3a16b43,f192b78e-399e-4fc5-9676-ce0bf65b220b
87b5c275-e16c-4fa5-98e8-2a7e6e9a5314,f156ec02-9e4f-4799-a142-f3e7b3a16b43,f192b78e-399e-4fc5-9676-ce0bf65b220b
96645736-41be-4010-a790-ec8dd27478d4,f24c248f-9367-4b90-9921-e45eb78c9301,f192b78e-399e-4fc5-9676-ce0bf65b220b
a58c0a73-a5a5-4856-ab71-32c8050bb0e3,ce237f33-6e37-45a1-9ebf-cdbd1094e66e,f192b78e-399e-4fc5-9676-ce0bf65b220b
b91312c4-b499-41c3-a02b-ab268c0f9da8,d56127e6-c367-4af4-b33d-7dd6f2014c82,f192b78e-399e-4fc5-9676-ce0bf65b220b
c2245264-b752-4d83-b51e-9051cbd3214e,ce237f33-6e37-45a1-9ebf-cdbd1094e66e,f192b78e-399e-4fc5-9676-ce0bf65b220b
d6401c2e-e085-4437-8daa-9a5dae44f9fa,ce237f33-6e37-45a1-9ebf-cdbd1094e66e,f192b78e-399e-4fc5-9676-ce0bf65b220b
d6a87ea5-71df-4412-bf8a-18de646babb0,d56127e6-c367-4af4-b33d-7dd6f2014c82,f192b78e-399e-4fc5-9676-ce0bf65b220b
da10f57d-ac83-4528-8880-74890b41aacc,9f7276a3-7603-4f4e-89ca-b5fe61ee6038,f192b78e-399e-4fc5-9676-ce0bf65b220b
daa0b8a8-e76c-4fc3-b3cf-283e87230cf6,9f7276a3-7603-4f4e-89ca-b5fe61ee6038,f192b78e-399e-4fc5-9676-ce0bf65b220b
f24f4795-f85d-4dd3-8dbc-fb71ee4ebf5b,56398db5-c8a2-490f-bb3e-7d9de378096b,f192b78e-399e-4fc5-9676-ce0bf65b220b
f3096c4a-212a-42a0-bd98-d8c330aa3c11,8aba0619-79c4-4f4b-b1b5-264d635a0369,f192b78e-399e-4fc5-9676-ce0bf65b220b
f5adbe8f-e67a-45e7-ab26-4540d1e0a0ba,25729289-f3ab-4b0f-9533-4e620d9af5a6,f192b78e-399e-4fc5-9676-ce0bf65b220b
fd0cac21-4f9d-43d5-b4ef-f43a69dfac90,388623fd-3086-4f41-b11d-8db29ae2eb4f,f192b78e-399e-4fc5-9676-ce0bf65b220b
25ab9612-aec8-4002-bdb4-f2db47e4fe9a,45bb6e8a-08b5-495f-b6cb-db12af075d86,f192b78e-399e-4fc5-9676-ce0bf65b220b
